applicant_id,CPA,weight
STR-05232A,"MISSION BEACH",6
STR-05249A,"MISSION BEACH",10
STR-05105A,"MISSION BEACH",10
STR-05144A,"MISSION BEACH",6
STR-00015A,"MISSION BEACH",10
STR-05226A,"MISSION BEACH",10
STR-04938A,"MISSION BEACH",6
STR-05137A,"MISSION BEACH",8
STR-05075A,"MISSION BEACH",6
STR-05257A,"MISSION BEACH",10
STR-04976A,"MISSION BEACH",5
STR-05147A,"MISSION BEACH",10
STR-05182A,"MISSION BEACH",3
STR-05175A,"MISSION BEACH",3
STR-05223A,"MISSION BEACH",10
STR-05118A,"MISSION BEACH",6
STR-05041A,"MISSION BEACH",10
STR-05209A,"MISSION BEACH",8
STR-04906A,"MISSION BEACH",3
STR-05101A,"MISSION BEACH",0
STR-05138A,"MISSION BEACH",10
STR-05120A,"MISSION BEACH",8
STR-05229A,"MISSION BEACH",6
STR-05084A,"MISSION BEACH",8
STR-05201A,"MISSION BEACH",10
STR-05115A,"MISSION BEACH",7
STR-05231A,"MISSION BEACH",4
STR-05050A,"MISSION BEACH",8
STR-04565A,"MISSION BEACH",6
STR-05123A,"MISSION BEACH",8
STR-04892A,"MISSION BEACH",3
STR-04917A,"MISSION BEACH",10
STR-05206A,"MISSION BEACH",8
STR-05057A,"MISSION BEACH",8
STR-05238A,"MISSION BEACH",3
STR-04994A,"MISSION BEACH",6
STR-05110A,"MISSION BEACH",10
STR-05092A,"MISSION BEACH",3
STR-04871A,"MISSION BEACH",8
STR-05061A,"MISSION BEACH",5
STR-04996A,"MISSION BEACH",4
STR-05085A,"MISSION BEACH",5
STR-05250A,"MISSION BEACH",6
STR-04895A,"MISSION BEACH",7
STR-05114A,"MISSION BEACH",3
STR-05074A,"MISSION BEACH",10
STR-04888A,"MISSION BEACH",10
STR-04930A,"MISSION BEACH",10
STR-04958A,"MISSION BEACH",4
STR-05013A,"MISSION BEACH",4
STR-05271A,"MISSION BEACH",8
STR-04863A,"MISSION BEACH",8
STR-05062A,"MISSION BEACH",4
STR-05001A,"MISSION BEACH",10
STR-04859A,"MISSION BEACH",3
STR-05034A,"MISSION BEACH",7
STR-04960A,"MISSION BEACH",10
STR-05029A,"MISSION BEACH",10
STR-05185A,"MISSION BEACH",3
STR-04959A,"MISSION BEACH",6
STR-05063A,"MISSION BEACH",10
STR-05064A,"MISSION BEACH",8
STR-04817A,"MISSION BEACH",7
STR-04879A,"MISSION BEACH",10
STR-04923A,"MISSION BEACH",8
STR-05004A,"MISSION BEACH",3
STR-05082A,"MISSION BEACH",4
STR-04964A,"MISSION BEACH",0
STR-05071A,"MISSION BEACH",10
STR-05069A,"MISSION BEACH",3
STR-04793A,"MISSION BEACH",10
STR-04899A,"MISSION BEACH",10
STR-04933A,"MISSION BEACH",6
STR-04965A,"MISSION BEACH",10
STR-04966A,"MISSION BEACH",10
STR-04844A,"MISSION BEACH",4
STR-05086A,"MISSION BEACH",8
STR-05035A,"MISSION BEACH",8
STR-04814A,"MISSION BEACH",5
STR-04735A,"MISSION BEACH",8
STR-04945A,"MISSION BEACH",8
STR-04835A,"MISSION BEACH",3
STR-04971A,"MISSION BEACH",3
STR-04801A,"MISSION BEACH",10
STR-05018A,"MISSION BEACH",8
STR-05043A,"MISSION BEACH",10
STR-04779A,"MISSION BEACH",8
STR-04738A,"MISSION BEACH",3
STR-04903A,"MISSION BEACH",10
STR-04878A,"MISSION BEACH",9
STR-04937A,"MISSION BEACH",6
STR-04766A,"MISSION BEACH",8
STR-05026A,"MISSION BEACH",4
STR-04954A,"MISSION BEACH",8
STR-04531A,"MISSION BEACH",6
STR-04691A,"MISSION BEACH",10
STR-04834A,"MISSION BEACH",10
STR-04898A,"MISSION BEACH",3
STR-04862A,"MISSION BEACH",7
STR-04736A,"MISSION BEACH",7
STR-04874A,"MISSION BEACH",10
STR-04897A,"MISSION BEACH",8
STR-04751A,"MISSION BEACH",10
STR-04666A,"MISSION BEACH",8
STR-04782A,"MISSION BEACH",10
STR-04900A,"MISSION BEACH",7
STR-04882A,"MISSION BEACH",3
STR-04683A,"MISSION BEACH",10
STR-04876A,"MISSION BEACH",10
